,0
1933,19.057500159574282
1934,19.05735382346317
1935,19.05720769229632
1936,19.057061765752394
1937,19.056916043510643
1938,19.056770525250844
1939,19.05662521065338
1940,19.056480099399163
1941,19.05633519116969
1942,19.05619048564701
1943,19.056045982513744
1944,19.05590168145301
1945,19.055757582148598
1946,19.055613684284754
1947,19.055469987546324
1948,19.055326491618686
1949,19.055183196187812
1950,19.055040100940175
1951,19.054897205562842
1952,19.054754509743386
1953,19.054612013169972
1954,19.054469715531294
1955,19.05432761651659
1956,19.054185715815645
1957,19.0540440131188
1958,19.05390250811693
1959,19.053761200501445
1960,19.053620089964312
1961,19.053479176198024
1962,19.05333845889563
1963,19.053197937750703
1964,19.05305761245737
1965,19.052917482710278
1966,19.05277754820461
1967,19.052637808636074
1968,19.052498263700958
1969,19.052358913096025
1970,19.052219756518603
1971,19.05208079366654
1972,19.05194202423821
1973,19.051803447932524
1974,19.05166506444892
1975,19.051526873487326
1976,19.051388874748273
1977,19.051251067932746
1978,19.051113452742275
1979,19.050976028878903
1980,19.050838796045227
1981,19.05070175394433
1982,19.050564902279824
1983,19.05042824075583
1984,19.050291769077017
1985,19.05015548694855
1986,19.05001939407609
1987,19.049883490165836
1988,19.04974777492449
1989,19.049612248059287
1990,19.04947690927795
1991,19.049341758288705
1992,19.049206794800302
1993,19.04907201852201
1994,19.0489374291636
1995,19.048803026435316
1996,19.048668810047946
1997,19.048534779712764
1998,19.048400935141565
1999,19.048267276046616
2000,19.04813380214072
2001,19.04800051313715
2002,19.047867408749692
2003,19.047734488692637
2004,19.04760175268076
2005,19.047469200429333
2006,19.047336831654135
2007,19.04720464607144
2008,19.04707264339801
2009,19.046940823351076
2010,19.046809185648407
2011,19.046677730008234
2012,19.046546456149276
2013,19.046415363790747
2014,19.046284452652365
2015,19.046153722454296
2016,19.046023172917238
2017,19.04589280376234
2018,19.04576261471125
2019,19.04563260548609
2020,19.04550277580948
2021,19.04537312540451
2022,19.045243653994746
2023,19.045114361304243
2024,19.044985247057543
2025,19.044856310979643
2026,19.04472755279602
2027,19.04459897223266
2028,19.044470569015967
2029,19.044342342872877
2030,19.04421429353076
2031,19.044086420717477
2032,19.043958724161346
2033,19.043831203591182
2034,19.043703858736237
2035,19.04357668932625
2036,19.043449695091418
2037,19.043322875762417
2038,19.04319623107038
2039,19.043069760746917
2040,19.042943464524086
2041,19.042817342134416
2042,19.04269139331089
2043,19.042565617786973
2044,19.042440015296563
2045,19.042314585574054
2046,19.042189328354258
2047,19.04206424337247
2048,19.041939330364436
2049,19.04181458906636
2050,19.0416900192149
2051,19.04156562054716
2052,19.041441392800728
2053,19.041317335713604
2054,19.04119344902426
2055,19.04106973247162
2056,19.04094618579506
2057,19.040822808734394
2058,19.04069960102989
2059,19.040576562422288
2060,19.04045369265272
2061,19.040330991462806
2062,19.040208458594613
2063,19.04008609379063
2064,19.039963896793804
2065,19.039841867347498
2066,19.03972000519556
2067,19.039598310082255
2068,19.039476781752292
2069,19.039355419950816
2070,19.0392342244234
2071,19.039113194916073
2072,19.03899233117529
2073,19.038871632947956
2074,19.038751099981393
2075,19.038630732023364
2076,19.038510528822066
2077,19.03839049012612
2078,19.038270615684603
2079,19.038150905246983
2080,19.038031358563213
2081,19.03791197538361
2082,19.037792755458984
2083,19.03767369854051
2084,19.03755480437985
